"Name","Version","Purl","License"
"@jest/console","27.5.1","pkg:npm/@jest/console@27.5.1","MIT"
"@jest/console","28.1.3","pkg:npm/@jest/console@28.1.3","MIT"
"@jest/core","27.5.1","pkg:npm/@jest/core@27.5.1","MIT"
"@jest/environment","27.5.1","pkg:npm/@jest/environment@27.5.1","MIT"
"@jest/fake-timers","27.5.1","pkg:npm/@jest/fake-timers@27.5.1","MIT"
"@jest/globals","27.5.1","pkg:npm/@jest/globals@27.5.1","MIT"
"@jest/reporters","27.5.1","pkg:npm/@jest/reporters@27.5.1","MIT"
"@jest/schemas","28.1.3","pkg:npm/@jest/schemas@28.1.3","MIT"
"@jest/source-map","27.5.1","pkg:npm/@jest/source-map@27.5.1","MIT"
"@jest/test-result","27.5.1","pkg:npm/@jest/test-result@27.5.1","MIT"
"@jest/test-result","28.1.3","pkg:npm/@jest/test-result@28.1.3","MIT"
"@jest/test-sequencer","27.5.1","pkg:npm/@jest/test-sequencer@27.5.1","MIT"
"@jest/transform","27.5.1","pkg:npm/@jest/transform@27.5.1","MIT"
"@jest/types","27.5.1","pkg:npm/@jest/types@27.5.1","MIT"
"@jest/types","28.1.3","pkg:npm/@jest/types@28.1.3","MIT"
"@jridgewell/gen-mapping","0.3.13","pkg:npm/@jridgewell/gen-mapping@0.3.13","MIT"
"@jridgewell/resolve-uri","3.1.2","pkg:npm/@jridgewell/resolve-uri@3.1.2","MIT"
"@jridgewell/source-map","0.3.11","pkg:npm/@jridgewell/source-map@0.3.11","MIT"
"@jridgewell/sourcemap-codec","1.5.5","pkg:npm/@jridgewell/sourcemap-codec@1.5.5","MIT"
"@jridgewell/trace-mapping","0.3.30","pkg:npm/@jridgewell/trace-mapping@0.3.30","MIT"
"@jsonjoy.com/base64","1.1.2","pkg:npm/@jsonjoy.com/base64@1.1.2","Apache-2.0"
"@jsonjoy.com/buffers","1.0.0","pkg:npm/@jsonjoy.com/buffers@1.0.0","Apache-2.0"
"@jsonjoy.com/codegen","1.0.0","pkg:npm/@jsonjoy.com/codegen@1.0.0","Apache-2.0"
"@jsonjoy.com/json-pack","1.14.0","pkg:npm/@jsonjoy.com/json-pack@1.14.0","Apache-2.0"
"@jsonjoy.com/json-pointer","1.0.2","pkg:npm/@jsonjoy.com/json-pointer@1.0.2","Apache-2.0"
"@jsonjoy.com/util","1.9.0","pkg:npm/@jsonjoy.com/util@1.9.0","Apache-2.0"
"@kurkle/color","0.3.4","pkg:npm/@kurkle/color@0.3.4","MIT"
"@leichtgewicht/ip-codec","2.0.5","pkg:npm/@leichtgewicht/ip-codec@2.0.5","MIT"
"@mui/base","5.0.0-alpha.128","pkg:npm/@mui/base@5.0.0-alpha.128","MIT"
"@mui/core-downloads-tracker","5.18.0","pkg:npm/@mui/core-downloads-tracker@5.18.0","MIT"
"@mui/icons-material","5.11.16","pkg:npm/@mui/icons-material@5.11.16","MIT"
"@mui/material","5.12.3","pkg:npm/@mui/material@5.12.3","MIT"
"@mui/private-theming","5.17.1","pkg:npm/@mui/private-theming@5.17.1","MIT"
"@mui/styled-engine","5.18.0","pkg:npm/@mui/styled-engine@5.18.0","MIT"
"@mui/system","5.18.0","pkg:npm/@mui/system@5.18.0","MIT"
"@mui/types","7.2.24","pkg:npm/@mui/types@7.2.24","MIT"
"@mui/types","7.4.5","pkg:npm/@mui/types@7.4.5","MIT"
"@mui/utils","5.17.1","pkg:npm/@mui/utils@5.17.1","MIT"
"@nicolo-ribaudo/eslint-scope-5-internals","5.1.1-v1","pkg:npm/@nicolo-ribaudo/eslint-scope-5-internals@5.1.1-v1","MIT"
"@nodelib/fs.scandir","2.1.5","pkg:npm/@nodelib/fs.scandir@2.1.5","MIT"
"@nodelib/fs.stat","2.0.5","pkg:npm/@nodelib/fs.stat@2.0.5","MIT"
"@nodelib/fs.walk","1.2.8","pkg:npm/@nodelib/fs.walk@1.2.8","MIT"
"@pkgjs/parseargs","0.11.0","pkg:npm/@pkgjs/parseargs@0.11.0","MIT"
"@pmmmwh/react-refresh-webpack-plugin","0.5.17","pkg:npm/@pmmmwh/react-refresh-webpack-plugin@0.5.17","MIT"
"@popperjs/core","2.11.8","pkg:npm/@popperjs/core@2.11.8","MIT"
"@remix-run/router","1.6.0","pkg:npm/@remix-run/router@1.6.0","MIT"
"@rollup/plugin-babel","5.3.1","pkg:npm/@rollup/plugin-babel@5.3.1","MIT"
"@rollup/plugin-node-resolve","11.2.1","pkg:npm/@rollup/plugin-node-resolve@11.2.1","MIT"
"@rollup/plugin-replace","2.4.2","pkg:npm/@rollup/plugin-replace@2.4.2","MIT"
"@rollup/pluginutils","3.1.0","pkg:npm/@rollup/pluginutils@3.1.0","MIT"
"@rushstack/eslint-patch","1.12.0","pkg:npm/@rushstack/eslint-patch@1.12.0","MIT"
"@sinclair/typebox","0.24.51","pkg:npm/@sinclair/typebox@0.24.51","MIT"
"@sinonjs/commons","1.8.6","pkg:npm/@sinonjs/commons@1.8.6","BSD-3-Clause"
"@sinonjs/fake-timers","8.1.0","pkg:npm/@sinonjs/fake-timers@8.1.0","BSD-3-Clause"
"@surma/rollup-plugin-off-main-thread","2.2.3","pkg:npm/@surma/rollup-plugin-off-main-thread@2.2.3","Apache-2.0"
"@svgr/babel-plugin-add-jsx-attribute","5.4.0","pkg:npm/@svgr/babel-plugin-add-jsx-attribute@5.4.0","MIT"
"@svgr/babel-plugin-remove-jsx-attribute","5.4.0","pkg:npm/@svgr/babel-plugin-remove-jsx-attribute@5.4.0","MIT"
"@svgr/babel-plugin-remove-jsx-empty-expression","5.0.1","pkg:npm/@svgr/babel-plugin-remove-jsx-empty-expression@5.0.1","MIT"
"@svgr/babel-plugin-replace-jsx-attribute-value","5.0.1","pkg:npm/@svgr/babel-plugin-replace-jsx-attribute-value@5.0.1","MIT"
"@svgr/babel-plugin-svg-dynamic-title","5.4.0","pkg:npm/@svgr/babel-plugin-svg-dynamic-title@5.4.0","MIT"
"@svgr/babel-plugin-svg-em-dimensions","5.4.0","pkg:npm/@svgr/babel-plugin-svg-em-dimensions@5.4.0","MIT"
